CS14_ENG_001_00	per:holds_shares_in	LDC	bolt-eng-DF-170-181113-84603:83990-84106	Global Crossing	bolt-eng-DF-170-181113-84603:11752-11766	1.0
CS14_ENG_006_01	per:alternate_names	LDC	LTW_ENG_20091004.0043:289-343	Gustavissimo	LTW_ENG_20091004.0043:331-342	1.0
CS14_ENG_006_01	per:alternate_names	LDC	LTW_ENG_20091004.0043:289-329	Gustavo the Great	LTW_ENG_20091004.0043:312-328	1.0
CS14_ENG_006_01	per:alternate_names	LDC	LTW_ENG_20091004.0043:355-467	G*D	LTW_ENG_20091004.0043:464-466	1.0
CS14_ENG_006_01	per:alternate_names	LDC	LTW_ENG_20091004.0043:345-353,LTW_ENG_20091004.0043:289-310	The Dude	LTW_ENG_20091004.0043:345-352	1.0
CS14_ENG_006_00	org:top_members_employees	LDC	APW_ENG_20090804.1088:187-332,APW_ENG_20090804.1088:334-338	Christian McBride	APW_ENG_20090804.1088:253-269	1.0
CS14_ENG_006_00	org:top_members_employees	LDC	APW_ENG_20090804.1088:210-338	Herbie Hancock	APW_ENG_20090804.1088:58-71	1.0
CS14_ENG_007_00	per:top_member_employee_of	LDC	APW_ENG_20091028.1067:175-321,APW_ENG_20091028.1067:93-96	Berlin Philharmonic	APW_ENG_20091028.1067:179-197	1.0
CS14_ENG_007_01	gpe:headquarters_in_city	LDC	CNA_ENG_20100527.0004:813-886	Telefongen	CNA_ENG_20100527.0004:818-827	1.0
CS14_ENG_007_01	gpe:headquarters_in_city	LDC	APW_ENG_20101220.0230:683-753	Brands4friends	APW_ENG_20101220.0230:392-405	1.0
CS14_ENG_007_01	gpe:headquarters_in_city	LDC	WPB_ENG_20100607.0084:2971-3119,WPB_ENG_20100607.0084:3121-3247	Wikileaks	WPB_ENG_20100607.0084:95-103	1.0
CS14_ENG_007_01	gpe:headquarters_in_city	LDC	APW_ENG_20090806.0394:320-468,APW_ENG_20090806.0394:470-511	Air Berlin	APW_ENG_20090806.0394:58-67	1.0
CS14_ENG_007_01	gpe:headquarters_in_city	LDC	APW_ENG_20091231.0625:182-325,APW_ENG_20091231.0625:327-389	Bombardier Transportation	APW_ENG_20091231.0625:182-206	1.0
CS14_ENG_007_01	gpe:headquarters_in_city	LDC	XIN_ENG_20100125.0266:682-829,XIN_ENG_20100125.0266:831-834	Deutsche Bahn	XIN_ENG_20100125.0266:386-398	1.0
CS14_ENG_008_00	org:employees_or_members	LDC	APW_ENG_20101104.0571:897-949	Alvaro Uribe	APW_ENG_20101104.0571:216-227	1.0
CS14_ENG_008_01	per:countries_of_residence	LDC	bolt-eng-DF-212-191676-3037319:591-622	Colombia	bolt-eng-DF-212-191676-3037319:591-599	1.0
CS14_ENG_009_00	org:students	LDC	NYT_ENG_20100316.0011:138-189	William John Scott	NYT_ENG_20100316.0011:138-155	1.0
CS14_ENG_009_01	per:charges	LDC	NYT_ENG_20100316.0011:1415-1511	knowingly stealing an object of cultural heritage from a museum	NYT_ENG_20100316.0011:1448-1510	1.0
CS14_ENG_009_00	org:students	LDC	NYT_ENG_20100123.0102:4444-4591,NYT_ENG_20100123.0102:4593-4665	James Edward Cheek	NYT_ENG_20100123.0102:4249-4266	1.0
CS14_ENG_009_00	org:students	LDC	NYT_ENG_20100823.0146:7348-7448,NYT_ENG_20100823.0146:7217-7337	Adrianna Hardaway	NYT_ENG_20100823.0146:7348-7364	1.0
CS14_ENG_009_00	org:students	LDC	NYT_ENG_20100823.0146:7348-7448,NYT_ENG_20100823.0146:7217-7337	Jordan Bader	NYT_ENG_20100823.0146:7370-7381	1.0
CS14_ENG_009_00	org:students	LDC	NYT_ENG_20101106.0100:557-615	Li Wanrong	NYT_ENG_20101106.0100:125-134	1.0
CS14_ENG_009_00	org:students	LDC	eng-NG-31-128245-9254168:1314-1430	Jeremy Dery	eng-NG-31-128245-9254168:900-910	1.0
CS14_ENG_010_00	per:top_member_employee_of	LDC	AFP_ENG_20100520.0673:480-560	United Front for Democracy against Dictatorship	AFP_ENG_20100520.0673:514-560	1.0
CS14_ENG_010_01	org:alternate_names	LDC	AFP_ENG_20100520.0673:480-593	Reds	AFP_ENG_20100520.0673:414-417	1.0
CS14_ENG_010_01	org:alternate_names	LDC	XIN_ENG_20100203.0134:181-325,XIN_ENG_20100203.0134:327-369	UDD	XIN_ENG_20100203.0134:250-252	1.0
CS14_ENG_010_01	org:alternate_names	LDC	XIN_ENG_20101011.0081:864-938	red-shirts	XIN_ENG_20101011.0081:99-108	1.0
CS14_ENG_011_00	gpe:headquarters_in_city	LDC	LTW_ENG_20090820.0118:1219-1301	Wells Fargo Home Mortgage	LTW_ENG_20090820.0118:1243-1267	1.0
CS14_ENG_011_01	org:top_members_employees	LDC	NYT_ENG_20100108.0161:1011-1107	Cara Heiden	NYT_ENG_20100108.0161:1015-1025	1.0
CS14_ENG_011_01	org:top_members_employees	LDC	WPB_ENG_20100413.0103:926-1046	Michael Heid	WPB_ENG_20100413.0103:992-1003	1.0
CS14_ENG_011_00	gpe:headquarters_in_city	LDC	WPB_ENG_20100928.0058:2048-2162	MidAmerican Energy Holdings	WPB_ENG_20100928.0058:2108-2134	1.0
CS14_ENG_011_01	org:top_members_employees	LDC	APW_ENG_20090805.1064:475-595	David Sokol	APW_ENG_20090805.1064:426-436	1.0
CS14_ENG_011_00	gpe:headquarters_in_city	LDC	NYT_ENG_20090823.0123:6422-6546	Meredith	NYT_ENG_20090823.0123:136-143	1.0
CS14_ENG_011_00	gpe:headquarters_in_city	LDC	eng-NG-31-142693-8724100:5948-6035	Americas Servicing Co.	eng-NG-31-142693-8724100:5992-6013	1.0
CS14_ENG_011_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100930.0194:3844-3965	Principal Financial Group	NYT_ENG_20100930.0194:142-166	1.0
CS14_ENG_011_00	gpe:headquarters_in_city	LDC	APW_ENG_20101201.0176:1327-1399	Dwolla Corp.	APW_ENG_20101201.0176:1361-1372	1.0
CS14_ENG_012_00	org:founded_by	LDC	APW_ENG_20091016.0861:870-1018,APW_ENG_20091016.0861:1020-1118	Raj Rajaratnam	APW_ENG_20091016.0861:414-427	1.0
CS14_ENG_012_01	per:country_of_birth	LDC	APW_ENG_20091016.0861:870-1018,APW_ENG_20091016.0861:1020-1118	Sri Lanka	APW_ENG_20091016.0861:892-900	1.0
CS14_ENG_012_00	org:founded_by	LDC	NYT_ENG_20091211.0031:2962-3075	Gary Rosenbach	NYT_ENG_20091211.0031:3030-3043	1.0
CS14_ENG_013_00	gpe:headquarters_in_city	LDC	APW_ENG_20090721.0514:695-728	Caterpillar Inc	APW_ENG_20090721.0514:217-231	1.0
CS14_ENG_013_01	org:subsidiaries	LDC	APW_ENG_20100802.0545:192-310	Electro-Motive Diesel	APW_ENG_20100802.0545:290-310	1.0
CS14_ENG_014_00	org:country_of_headquarters	LDC	APW_ENG_20101119.0521:1081-1140	Ukraine	APW_ENG_20101119.0521:90-96	1.0
CS14_ENG_014_01	gpe:births_in_country	LDC	AFP_ENG_20100714.0216:466-582	Nikita Rukavytsya	AFP_ENG_20100714.0216:221-237	1.0
CS14_ENG_014_01	gpe:births_in_country	LDC	APW_ENG_20101104.0382:281-393	Alina Treiger	APW_ENG_20101104.0382:301-313	1.0
CS14_ENG_014_01	gpe:births_in_country	LDC	APW_ENG_20091129.0144:217-238,APW_ENG_20091129.0144:164-203	John Demjanjuk	APW_ENG_20091129.0144:189-202	1.0
CS14_ENG_014_01	gpe:births_in_country	LDC	AFP_ENG_20091205.0003:810-875	Dmitriy Salita	AFP_ENG_20091205.0003:227-240	1.0
CS14_ENG_014_01	gpe:births_in_country	LDC	NYT_ENG_20091008.0020:3770-3851	Israel Moiseevich Gelfand	NYT_ENG_20091008.0020:3799-3823	1.0
CS14_ENG_014_01	gpe:births_in_country	LDC	NYT_ENG_20090811.0175:2462-2526	Clarice Lispector	NYT_ENG_20090811.0175:190-206	1.0
CS14_ENG_014_01	gpe:births_in_country	LDC	AFP_ENG_20101006.0197:652-776	Myroslav Dykun	AFP_ENG_20101006.0197:184-197	1.0
CS14_ENG_014_01	gpe:births_in_country	LDC	APW_ENG_20101106.0407:322-433	Michael Seifert	APW_ENG_20101106.0407:201-215	1.0
CS14_ENG_014_01	gpe:births_in_country	LDC	AFP_ENG_20090619.0777:892-928	Olga Kurylenko	AFP_ENG_20090619.0777:342-355	1.0
CS14_ENG_015_00	gpe:births_in_stateorprovince	LDC	NYT_ENG_20100120.0091:1546-1605	Erma Deutschendorf Davis	NYT_ENG_20100120.0091:1546-1562	1.0
CS14_ENG_015_01	per:spouse	LDC	NYT_ENG_20100120.0091:1607-1659	Henry John Deutschendorf	NYT_ENG_20100120.0091:1619-1650	1.0
CS14_ENG_015_01	per:spouse	LDC	NYT_ENG_20100120.0091:1853-1891	Raymond Ralph Davis	NYT_ENG_20100120.0091:1865-1883	1.0
CS14_ENG_016_00	per:stateorprovince_of_death	LDC	APW_ENG_20100108.1237:407-468,APW_ENG_20100108.1237:131-150	Delaware	APW_ENG_20100108.1237:143-150	1.0
CS14_ENG_016_01	gpe:residents_of_stateorprovince	LDC	eng-NG-31-151544-10660632:2017-2116	Randy Inglis	eng-NG-31-151544-10660632:171-182	1.0
CS14_ENG_016_01	gpe:residents_of_stateorprovince	LDC	NYT_ENG_20100529.0089:504-602	Lynn Treacy	NYT_ENG_20100529.0089:127-137	1.0
CS14_ENG_016_01	gpe:residents_of_stateorprovince	LDC	WPB_ENG_20100917.0044:3411-3510,WPB_ENG_20100917.0044:239-254	Andrea Levine	WPB_ENG_20100917.0044:3475-3487	1.0
CS14_ENG_016_01	gpe:residents_of_stateorprovince	LDC	NYT_ENG_20090701.0088:2630-2746	Bonnie Smalley	NYT_ENG_20090701.0088:126-139	1.0
CS14_ENG_016_01	gpe:residents_of_stateorprovince	LDC	NYT_ENG_20101122.0134:7341-7426	Patrick Simmons	NYT_ENG_20101122.0134:7341-7355	1.0
CS14_ENG_016_01	gpe:residents_of_stateorprovince	LDC	bolt-eng-DF-199-192783-6872944:3312-3409	George Elliott	bolt-eng-DF-199-192783-6872944:3312-3325	1.0
CS14_ENG_017_00	gpe:deaths_in_city	LDC	LTW_ENG_20090824.0049:119-192	Knechtel	LTW_ENG_20090824.0049:67-74	1.0
CS14_ENG_017_01	per:employee_or_member_of	LDC	LTW_ENG_20090824.0049:356-440	Wrecking Crew	LTW_ENG_20090824.0049:428-440	1.0
CS14_ENG_017_01	per:employee_or_member_of	LDC	LTW_ENG_20090824.0049:1361-1415	Bread	LTW_ENG_20090824.0049:79-83	1.0
CS14_ENG_018_00	org:employees_or_members	LDC	APW_ENG_20101217.0876:934-1009	Karen Golinski	APW_ENG_20101217.0876:202-215	1.0
CS14_ENG_018_01	per:spouse	LDC	APW_ENG_20101217.0876:1195-1309	Amy Cunninghis	APW_ENG_20101217.0876:1220-1233	1.0
CS14_ENG_018_00	org:employees_or_members	LDC	APW_ENG_20091214.0603:692-839,APW_ENG_20091214.0603:841-863	Kim Wardlaw	APW_ENG_20091214.0603:847-857	1.0
CS14_ENG_019_00	gpe:births_in_stateorprovince	LDC	XIN_ENG_20091108.0024:497-565	Devlet Bahceli	XIN_ENG_20091108.0024:185-198	1.0
CS14_ENG_019_01	per:top_member_employee_of	LDC	XIN_ENG_20091108.0024:185-280	Nationalist Movement Party	XIN_ENG_20091108.0024:249-274	1.0
CS14_ENG_019_01	per:top_member_employee_of	LDC	XIN_ENG_20091108.0024:948-1037,XIN_ENG_20091108.0024:828-937	Nationalist Task Party	XIN_ENG_20091108.0024:881-902	1.0
CS14_ENG_020_00	org:members	LDC	NYT_ENG_20100308.0011:3501-3606	Western Hockey League	NYT_ENG_20100308.0011:3501-3521	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20100308.0011:3483-3521	Silvertips	NYT_ENG_20100308.0011:3483-3492	1.0
CS14_ENG_020_01	org:members	LDC	AFP_ENG_20100622.0028:1020-1064	Kamlopps Blazers	AFP_ENG_20100622.0028:1020-1035	1.0
CS14_ENG_020_01	org:members	LDC	AFP_ENG_20091010.0393:1126-1170	Swift Current Broncos	AFP_ENG_20091010.0393:1150-1170	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20090818.0016:2351-2386	Calgary	NYT_ENG_20090818.0016:2351-2357	1.0
CS14_ENG_020_01	org:members	LDC	APW_ENG_20101006.0776:1506-1560	Prince George Cougars	APW_ENG_20101006.0776:1506-1526	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20091013.0186:424-468	Vancouver Giants	NYT_ENG_20091013.0186:424-439	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20091003.0002:3135-3173	Lethbridge	NYT_ENG_20091003.0002:3135-3144	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20100625.0004:1980-2023	Portland	NYT_ENG_20100625.0004:1980-1987	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20090707.0031:2638-2681	Kelowna Rockets	NYT_ENG_20090707.0031:2638-2652	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20101107.0064:2948-2992	Saskatoon Blades	NYT_ENG_20101107.0064:2948-2963	1.0
CS14_ENG_020_00	org:members	LDC	NYT_ENG_20091226.0014:757-833,NYT_ENG_20091226.0014:835-971	OHL	NYT_ENG_20091226.0014:894-896	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20091109.0122:2051-2109	Erie Otters	NYT_ENG_20091109.0122:2051-2067	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20090627.0123:3552-3586	Oshawa	NYT_ENG_20090627.0123:3552-3557	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20090919.0139:3349-3384,NYT_ENG_20100623.0027:1252-1351	Windsor	NYT_ENG_20090919.0139:3349-3355	1.0
CS14_ENG_020_01	org:members	LDC	APW_ENG_20101006.0352:384-418	Barrie	APW_ENG_20101006.0352:384-389	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20090625.0179:684-805	London Knights	NYT_ENG_20090625.0179:741-754	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20100627.0046:2532-2576	Sault Ste. Marie	NYT_ENG_20100627.0046:2532-2547	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20100914.0107:912-957	Owen Sound Attack	NYT_ENG_20100914.0107:912-928	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20100413.0103:2121-2161	Guelph Storm	NYT_ENG_20100413.0103:2121-2132	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20090626.0177:519-565	Brampton Battalion	NYT_ENG_20090626.0177:519-536	1.0
CS14_ENG_020_01	org:members	LDC	NYT_ENG_20100623.0027:1296-1342	Plymouth Whalers	NYT_ENG_20100623.0027:1296-1311	1.0
CS14_ENG_021_00	gpe:headquarters_in_city	LDC	NYT_ENG_20091212.0098:1251-1311	Minor League Baseball	NYT_ENG_20091212.0098:1255-1275	1.0
CS14_ENG_021_01	org:top_members_employees	LDC	NYT_ENG_20100901.0192:921-986	Steve Densa	NYT_ENG_20100901.0192:921-931	1.0
CS14_ENG_021_01	org:top_members_employees	LDC	NYT_ENG_20090714.0024:1246-1297	Pat O'Connor	NYT_ENG_20090714.0024:1246-1257	1.0
CS14_ENG_021_00	gpe:headquarters_in_city	LDC	NYT_ENG_20101017.0090:477-596,NYT_ENG_20101017.0090:599-706	Tampa field office, Internal Revenue Service Criminal Investigation	NYT_ENG_20101017.0090:530-596	1.0
CS14_ENG_021_01	org:top_members_employees	LDC	NYT_ENG_20101017.0090:477-547	Linda Osuna	NYT_ENG_20101017.0090:149-159	1.0
CS14_ENG_021_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100320.0039:6289-6339	American Strategic Insurance Corp.	NYT_ENG_20100320.0039:231-264	1.0
CS14_ENG_021_01	org:top_members_employees	LDC	NYT_ENG_20100320.0039:374-404,NYT_ENG_20100320.0039:488-540	John Auer	NYT_ENG_20100320.0039:532-540	1.0
CS14_ENG_021_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100131.0039:3448-3493	Society of St. Vincent DePaul	NYT_ENG_20100131.0039:3465-3493	1.0
CS14_ENG_021_00	gpe:headquarters_in_city	LDC	APW_ENG_20101109.0094:1488-1534	Salvador Dali Museum	APW_ENG_20101109.0094:1488-1507	1.0
CS14_ENG_021_01	org:top_members_employees	LDC	NYT_ENG_20100812.0009:1191-1239	Marcia Crawley	NYT_ENG_20100812.0009:1226-1239	1.0
CS14_ENG_021_01	org:top_members_employees	LDC	NYT_ENG_20100812.0009:2711-2799	Tom James	NYT_ENG_20100812.0009:2791-2799	1.0
CS14_ENG_021_01	org:top_members_employees	LDC	NYT_ENG_20100702.0169:4048-4096	Hank Hine III	NYT_ENG_20100702.0169:4048-4060	1.0
CS14_ENG_021_01	org:top_members_employees	LDC	NYT_ENG_20090822.0044:1924-1993	Marshall Rousseau	NYT_ENG_20090822.0044:154-170	1.0
CS14_ENG_021_01	org:top_members_employees	LDC	NYT_ENG_20090624.0016:7547-7614	Vincent M. Dolan	NYT_ENG_20090624.0016:6964-6979	1.0
CS14_ENG_021_00	gpe:headquarters_in_city	LDC	APW_ENG_20090721.1112:1317-1369	Poynter Institute for Media Studies	APW_ENG_20090721.1112:1317-1351	1.0
CS14_ENG_021_01	org:top_members_employees	LDC	NYT_ENG_20101123.0055:4609-4689	Kelly McBride	NYT_ENG_20101123.0055:4609-4621	1.0
CS14_ENG_022_00	per:parents	LDC	AFP_ENG_20101029.0272:1368-1478	Liang Sicheng	AFP_ENG_20101029.0272:1379-1391	1.0
CS14_ENG_022_01	per:spouse	LDC	AFP_ENG_20100607.0695:3076-3156	Lin Huiyin	AFP_ENG_20100607.0695:3094-3103	1.0
CS14_ENG_023_00	per:spouse	LDC	XIN_ENG_20101021.0143:461-516	Manmohan Singh	XIN_ENG_20101021.0143:198-211	1.0
CS14_ENG_023_01	per:city_of_birth	LDC	AFP_ENG_20101125.0592:3806-3906	Gah	AFP_ENG_20101125.0592:3904-3906	1.0
CS14_ENG_024_00	org:employees_or_members	LDC	AFP_ENG_20100203.0021:809-871	Shalin Jhaveri	AFP_ENG_20100203.0021:373-386	1.0
CS14_ENG_024_01	per:cities_of_residence	LDC	AFP_ENG_20100203.0021:373-423	Syracuse	AFP_ENG_20100203.0021:406-413	1.0
CS14_ENG_024_00	org:employees_or_members	LDC	APW_ENG_20100312.1154:2721-2867,APW_ENG_20100312.1154:2574-2684	Laura Hortas	APW_ENG_20100312.1154:2855-2866	1.0
CS14_ENG_024_00	org:employees_or_members	LDC	eng-NG-31-127079-9186080:3351-3492	Andrew Fike	eng-NG-31-127079-9186080:3476-3486	1.0
CS14_ENG_025_00	per:organizations_founded	LDC	NYT_ENG_20100530.0114:1423-1507	Softbank	NYT_ENG_20100530.0114:399-406	1.0
CS14_ENG_025_01	org:holds_shares_in	LDC	NYT_ENG_20100530.0114:1188-1267	Oak Pacific Interactive	NYT_ENG_20100530.0114:1245-1267	1.0
CS14_ENG_025_01	org:holds_shares_in	LDC	APW_ENG_20100202.0466:1126-1187	Ustream	APW_ENG_20100202.0466:95-101	1.0
CS14_ENG_025_01	org:holds_shares_in	LDC	APW_ENG_20100202.0466:2594-2669	RockYou Inc.	APW_ENG_20100202.0466:2658-2669	1.0
CS14_ENG_026_00	org:country_of_headquarters	LDC	NYT_ENG_20091005.0091:171-219	Norway	NYT_ENG_20091005.0091:184-192	1.0
CS14_ENG_026_01	gpe:residents_of_country	LDC	XIN_ENG_20090831.0174:1081-1120	Jens Stoltenberg	XIN_ENG_20090831.0174:1105-1120	1.0
CS14_ENG_026_01	gpe:residents_of_country	LDC	XIN_ENG_20100113.0447:366-417	Trond Giske	XIN_ENG_20100113.0447:407-417	1.0
CS14_ENG_026_01	gpe:residents_of_country	LDC	APW_ENG_20091023.0394:178-201,APW_ENG_20091023.0394:323-364	Anne-Grete Stroem-Erichsen	APW_ENG_20091023.0394:339-364	1.0
CS14_ENG_026_01	gpe:residents_of_country	LDC	APW_ENG_20101008.0601:325-382	Ragnhild Imserslund	APW_ENG_20101008.0601:364-382	1.0
CS14_ENG_026_01	gpe:residents_of_country	LDC	XIN_ENG_20100218.0338:200-219	Tora Berger	XIN_ENG_20100218.0338:74-84	1.0
CS14_ENG_026_01	gpe:residents_of_country	LDC	APW_ENG_20100216.0675:178-289,APW_ENG_20100216.0675:301-444	Petter Northug	APW_ENG_20100216.0675:413-426	1.0
CS14_ENG_026_01	gpe:residents_of_country	LDC	AFP_ENG_20100307.0367:197-293	Marit Bjoergen	AFP_ENG_20100307.0367:221-234	1.0
CS14_ENG_026_01	gpe:residents_of_country	LDC	eng-NG-31-127096-9195969:437-490	Eirik Saemundson	eng-NG-31-127096-9195969:177-192	1.0
CS14_ENG_026_01	gpe:residents_of_country	LDC	eng-NG-31-127096-9195969:615-648	Charles Canuteson	eng-NG-31-127096-9195969:615-631	1.0
CS14_ENG_026_01	gpe:residents_of_country	LDC	eng-NG-31-127096-9195969:1156-1191	Saemund Torgilson	eng-NG-31-127096-9195969:1175-1191	1.0
CS14_ENG_027_00	per:parents	LDC	AFP_ENG_20101229.0116:609-668	his father	AFP_ENG_20101229.0116:620-629	1.0
CS14_ENG_027_01	per:cause_of_death	LDC	AFP_ENG_20101229.0116:100-104,AFP_ENG_20101229.0116:456-597	head injuries from a motorbike accident	AFP_ENG_20101229.0116:559-597	1.0
CS14_ENG_028_00	org:employees_or_members	LDC	APW_ENG_20101104.0063:328-436	Lauren Mack	APW_ENG_20101104.0063:381-391	1.0
CS14_ENG_028_00	org:employees_or_members	LDC	APW_ENG_20100602.0909:509-606	John Morton	APW_ENG_20100602.0909:574-584	1.0
CS14_ENG_028_00	org:employees_or_members	LDC	XIN_ENG_20091125.0241:762-893,XIN_ENG_20091125.0241:895-941	Leticia Zamarripa	XIN_ENG_20091125.0241:919-935	1.0
CS14_ENG_028_00	org:employees_or_members	LDC	WPB_ENG_20100225.0040:2316-2382	Gerald Hutt	WPB_ENG_20100225.0040:1492-1502	1.0
CS14_ENG_028_00	org:employees_or_members	LDC	eng-NG-31-137518-8620207:680-780,eng-NG-31-137518-8620207:781-828	Julie L. Myers	eng-NG-31-137518-8620207:765-778	1.0
CS14_ENG_029_00	per:top_member_employee_of	LDC	NYT_ENG_20091012.0024:3500-3632	Student Nonviolent Coordinating Committee	NYT_ENG_20091012.0024:3534-3574	1.0
CS14_ENG_029_01	org:date_founded	LDC	eng-NG-31-100463-8835403:10543-10625	1960-04-15	eng-NG-31-100463-8835403:10565-10578	1.0
CS14_ENG_029_00	per:top_member_employee_of	LDC	NYT_ENG_20091012.0024:3500-3632	Black Panther Party	NYT_ENG_20091012.0024:3594-3612	1.0
CS14_ENG_030_00	per:spouse	LDC	APW_ENG_20100125.0986:2376-2478	Daniel Kerrigan	APW_ENG_20100125.0986:783-797	1.0
CS14_ENG_030_01	per:date_of_death	LDC	APW_ENG_20100408.0963:321-382	2010-01-24	APW_ENG_20100408.0963:342-348	1.0
CS14_ENG_031_00	gpe:residents_of_stateorprovince	LDC	WPB_ENG_20100630.0100:686-733	W.S. Merwin	WPB_ENG_20100630.0100:204-214	1.0
CS14_ENG_031_01	per:schools_attended	LDC	NYT_ENG_20100630.0213:2720-2766	Princeton University	NYT_ENG_20100630.0213:2732-2751	1.0
CS14_ENG_032_00	per:employee_or_member_of	LDC	bolt-eng-DF-200-192431-6335891:133-174	LBC	bolt-eng-DF-200-192431-6335891:172-174	1.0
CS14_ENG_032_01	org:city_of_headquarters	LDC	AFP_ENG_20100217.0377:443-460	London	AFP_ENG_20100217.0377:128-133	1.0
CS14_ENG_033_00	per:parents	LDC	eng-NG-31-138320-9804504:895-960	Sally W. Duerson	eng-NG-31-138320-9804504:827-842	1.0
CS14_ENG_033_01	per:date_of_birth	LDC	eng-NG-31-138320-9804504:804-856	1812-XX-XX	eng-NG-31-138320-9804504:853-856	1.0
CS14_ENG_034_00	gpe:deaths_in_stateorprovince	LDC	APW_ENG_20100921.0835:1319-1422,eng-NG-31-126958-8238179:2133-2214	Eileen Nearne	APW_ENG_20100921.0835:437-449	1.0
